City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Current Temp
62,Pevek,RU,69.7,170.31,47.28,90,84,5.44,broken clouds,0.0,0.0,47.28
63,Verkhoyansk,RU,67.54,133.38,69.26,42,4,3.11,clear sky,0.0,0.0,69.26
64,Urumqi,CN,43.8,87.6,75.2,38,67,6.71,broken clouds,0.0,0.0,75.2
65,Saint-Philippe,RE,-21.36,55.77,68.0,68,61,13.87,broken clouds,0.0,0.0,62.51
66,Nikolskoye,RU,59.7,30.79,57.2,87,90,6.71,light intensity shower rain,0.0,0.0,56.03
67,Naze,JP,28.37,129.48,82.4,94,75,8.05,broken clouds,0.0,0.0,82.4
68,Lebu,CL,-37.62,-73.65,49.71,69,65,4.72,broken clouds,0.0,0.0,49.71
69,Cabra,ES,37.47,-4.44,84.0,31,0,6.6,clear sky,0.0,0.0,84.0
70,Te Anau,NZ,-45.42,167.72,42.94,86,99,7.0,light rain,0.25,0.0,42.94
71,Vao,NC,-22.67,167.48,68.16,75,6,19.75,light rain,0.17,0.0,68.16
72,Batsfjord,NO,70.63,29.72,46.4,87,75,4.7,broken clouds,0.0,0.0,46.4
73,Mancio Lima,BR,-7.61,-72.9,81.91,71,35,1.59,scattered clouds,0.0,0.0,81.91
74,Omsukchan,RU,62.53,155.8,60.89,64,79,3.91,broken clouds,0.0,0.0,60.89
75,Karratha,AU,-20.74,116.85,64.74,35,0,17.52,clear sky,0.0,0.0,64.74
76,Albany,US,42.6,-73.97,79.0,82,100,7.58,moderate rain,1.02,0.0,77.77
77,Harper,LR,4.38,-7.72,76.01,79,84,10.74,broken clouds,0.0,0.0,76.01
78,Half Moon Bay,US,37.46,-122.43,80.01,82,1,9.17,clear sky,0.0,0.0,72.36
79,Sault Sainte Marie,CA,46.52,-84.33,71.6,83,90,8.05,overcast clouds,0.0,0.0,69.48
80,Chapais,CA,49.78,-74.85,89.6,49,75,6.93,broken clouds,0.0,0.0,89.6
81,Cidreira,BR,-30.18,-50.21,58.33,82,0,14.65,clear sky,0.0,0.0,58.33
82,Provost,CA,52.35,-110.27,69.6,59,61,12.37,broken clouds,0.0,0.0,69.6
83,Chuy,UY,-33.7,-53.46,52.03,84,89,8.3,overcast clouds,0.0,0.0,52.03
84,Mount Isa,AU,-20.73,139.5,60.8,55,19,8.05,few clouds,0.0,0.0,60.8
85,Vieux-Habitants,GP,16.06,-61.77,86.0,62,40,16.11,scattered clouds,0.0,0.0,86.0
86,Vila,PT,42.03,-8.16,71.01,60,0,12.75,clear sky,0.0,0.0,67.24
87,Atuona,PF,-9.8,-139.03,79.7,78,97,18.95,light rain,0.12,0.0,79.7
88,Bathsheba,BB,13.22,-59.52,84.2,70,40,21.92,scattered clouds,0.0,0.0,84.2
89,Alofi,NU,-19.06,-169.92,75.2,83,88,17.22,overcast clouds,0.0,0.0,75.2
90,Bluff,NZ,-46.6,168.33,48.72,75,91,22.06,light rain,0.13,0.0,48.72
91,Ribeira Grande,PT,38.52,-28.7,71.6,73,40,4.7,scattered clouds,0.0,0.0,71.6
92,Georgetown,MY,5.41,100.34,80.6,94,40,2.24,scattered clouds,0.0,0.0,79.27
93,Road Town,VG,18.42,-64.62,86.0,70,40,11.41,scattered clouds,0.0,0.0,85.39
94,Umm Lajj,SA,25.02,37.27,80.62,65,0,3.33,clear sky,0.0,0.0,80.62
95,Beringovskiy,RU,63.05,179.32,54.72,69,99,2.53,overcast clouds,0.0,0.0,54.72
96,Meulaboh,ID,4.14,96.13,77.45,84,100,5.37,light rain,0.16,0.0,77.45
97,San Cristobal,VE,7.77,-72.22,91.4,38,40,11.41,scattered clouds,0.0,0.0,91.4
98,Umba,RU,66.69,34.34,52.29,85,51,12.08,light rain,0.28,0.0,52.29
99,Tasiilaq,GL,65.61,-37.64,42.8,81,0,6.93,clear sky,0.0,0.0,42.8
100,Qandala,SO,11.47,49.87,93.24,46,100,6.46,overcast clouds,0.0,0.0,93.24
101,Nuuk,GL,64.18,-51.72,51.8,71,20,8.05,few clouds,0.0,0.0,51.8
102,Namibe,AO,-15.2,12.15,60.19,83,0,13.73,clear sky,0.0,0.0,60.19
103,Carnarvon,AU,-24.87,113.63,53.6,50,0,10.29,clear sky,0.0,0.0,53.6
