City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Kanniyakumari,IN,82.27,overcast clouds,8.08,77.57,New Cape Hotel
234,Lorengau,PG,82.22,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
236,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
237,Piacabucu,BR,79.54,clear sky,-10.41,-36.43,Piaçabuçu News
243,Cumana,VE,83.97,scattered clouds,10.46,-64.18,TIUNA INN HOTEL
250,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
255,Zinder,NE,91.4,thunderstorm,13.81,8.99,hôtel central
260,Hobyo,SO,79.12,overcast clouds,5.35,48.53,Osmani Hotel
262,Russell,US,93.2,broken clouds,32.35,-85.2,Macs
265,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
266,Pochutla,MX,87.8,scattered clouds,15.74,-96.47,Hotel Posada San Jose
271,Powell,US,86.0,clear sky,40.16,-83.08,The Brig
273,Viransehir,TR,87.1,scattered clouds,37.24,39.76,Viranşehir Öğretmenevi
274,North Vernon,US,84.0,clear sky,39.01,-85.62,Quality Inn North Vernon Near Hwy 50
276,Dahegam,IN,84.2,haze,23.17,72.82,Malhaar Resort
283,The Valley,AI,89.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
284,La Rioja,ES,75.2,broken clouds,42.25,-2.5,Casa Concejos
287,Pachino,IT,78.01,clear sky,36.72,15.09,La Vignazza B&B
290,Brownsville,US,93.99,broken clouds,25.9,-97.5,Hotel Alameda Express
292,Oktyabrskiy,RU,75.42,clear sky,54.48,53.47,Уязы-Тау гостиница
293,Fatima,PT,79.0,few clouds,39.62,-8.65,Hotel Santa Maria
295,Nouakchott,MR,82.4,dust,18.09,-15.98,Hôtel Iman
296,Xilitla,MX,89.26,clear sky,21.33,-98.97,Rio Tancuilin
304,Cabo San Lucas,MX,93.2,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
305,Barda,AZ,81.28,overcast clouds,40.37,47.13,Kral Hotel
306,Namatanai,PG,78.75,overcast clouds,-3.67,152.43,Namatanai Hotel
309,Mazagao,BR,91.4,scattered clouds,-0.12,-51.29,Casa Lima Santos
315,Ijero,NG,80.6,few clouds,6.48,3.38,The Snug
316,Tarifa,ES,89.6,haze,36.01,-5.61,Hotel la Mirada
317,Cayenne,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
321,Carmen,MX,89.6,scattered clouds,18.63,-91.83,Hotel Lossandes
323,Peniche,PT,75.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
326,Gaziantep,TR,86.0,clear sky,37.06,37.38,Novotel Gaziantep
327,Nishihara,JP,84.2,shower rain,26.18,127.76,Minshuku Agaihama
328,Sorong,ID,77.52,overcast clouds,-0.88,131.25,The Waigo Hotel
331,Sur,OM,85.15,clear sky,22.57,59.53,Sur Plaza Hotel
333,Allahganj,IN,92.3,scattered clouds,27.55,79.68,Rajesh TVS Motors
336,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
344,Lata,PT,82.0,few clouds,40.16,-8.33,Casa Maquia
349,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
353,Saint-Francois,FR,78.8,scattered clouds,46.42,3.91,Manoir Du Bonheur
354,Kutum,SD,87.15,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
355,Ngama,TD,77.41,overcast clouds,11.78,17.17,
358,Vicksburg,US,93.2,clear sky,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
360,Qandala,SO,92.37,scattered clouds,11.47,49.87,
362,Glens Falls,US,82.0,broken clouds,43.31,-73.64,Super 8 by Wyndham Queensbury Glens Falls
365,Bathsheba,BB,89.6,scattered clouds,13.22,-59.52,Atlantis Hotel
366,Anito,PH,79.45,clear sky,12.45,125.29,The Yellow House
367,Takoradi,GH,76.03,broken clouds,4.88,-1.76,Raybow International Hotel
368,Marsa Matruh,EG,80.6,clear sky,31.35,27.25,Beau Site
369,Tanout,NE,94.24,broken clouds,14.97,8.89,
371,Marsala,IT,82.99,few clouds,37.8,12.44,Villa Favorita Hotel e Resort
372,Panaba,MX,89.2,clear sky,21.28,-88.27,Hotel Amor
376,Maragogi,BR,78.98,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
378,Sibolga,ID,76.44,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
379,Lixourion,GR,77.0,clear sky,38.2,20.43,Summery Hotel
382,Palmer,US,75.2,broken clouds,42.16,-72.33,Wedgewood Motel
384,Manokwari,ID,78.93,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
385,San Patricio,MX,91.4,few clouds,19.22,-104.7,Hotel Cabo Blanco
389,Avera,US,93.2,clear sky,33.19,-82.53,
395,Aswan,EG,91.24,clear sky,24.09,32.91,Nuba Nile
399,Horta,PT,75.2,few clouds,38.53,-28.63,Hotel do Canal | Horta - Faial
400,Tianpeng,CN,78.8,scattered clouds,30.99,103.94,Shuangliu Love Home Business Hotel
401,Biak,ID,76.06,broken clouds,-0.91,122.88,Kost Ariz
404,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
405,Aras,ES,75.2,broken clouds,42.56,-2.36,Jardines de Viana Spa
407,Barcelos,PT,84.99,broken clouds,41.54,-8.62,Hotel Do Terço
408,Colares,PT,75.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
410,York,US,87.8,clear sky,40.13,-77.0,Rodeway Inn
412,Kattivakkam,IN,84.2,mist,13.22,80.32,St. Joseph Thirumana mandapam
415,Caravelas,BR,82.4,few clouds,-17.71,-39.25,Pousada dos Navegantes
417,Seydi,TM,92.21,few clouds,39.48,62.91,
420,Acapulco,MX,91.4,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
423,Gloversville,US,75.99,overcast clouds,43.05,-74.34,Holiday Inn Johnstown-Gloversville
425,Ceres,US,82.99,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
428,Westport,US,84.2,scattered clouds,41.14,-73.36,The Westport Inn
431,Morehead,US,87.01,scattered clouds,37.27,-87.18,CCI Express Inn
433,Linhares,BR,88.3,few clouds,-19.39,-40.07,Hotel Conceição
434,Itoman,JP,84.2,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
435,Muisne,EC,76.53,overcast clouds,0.6,-80.03,Quinta Samay
437,Sambo Creek,HN,86.0,broken clouds,15.82,-86.68,Brisas del Mar
438,Banda Aceh,ID,80.2,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
440,Valparaiso,CL,80.6,clear sky,-33.04,-71.63,Hotel Ultramar
448,Labuhan,ID,77.67,few clouds,-6.88,112.21,bador sepret
450,Vila,PT,75.99,broken clouds,42.03,-8.16,Hotel Castrum Villae
452,Road Town,VG,87.8,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
454,Shetpe,KZ,83.3,few clouds,44.17,52.12,Rtsm Shetpe Analog
455,Lar,IN,87.39,broken clouds,26.2,83.97,Ovaiskarni ward Lar
463,Tabou,CI,76.57,few clouds,4.42,-7.35,hotêl doufoulougou
464,Elko,US,81.0,clear sky,41.0,-115.5,
467,Kraksaan,ID,76.19,clear sky,-7.76,113.4,Asrama Hati
469,Freeport,US,87.01,clear sky,40.66,-73.58,The Freeport Inn and Marinad
470,Mayor Pablo Lagerenza,PY,78.22,broken clouds,-19.93,-60.77,
471,Jieshi,CN,84.25,overcast clouds,22.81,115.83,Yuehai Hotel
474,Dzaoudzi,YT,75.2,broken clouds,-12.79,45.27,Le Rocher
477,Natal,BR,84.2,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
479,Birjand,IR,86.0,light rain,32.87,59.22,Birjand Tourist Hotel
480,Americo Brasiliense,BR,79.34,scattered clouds,-21.72,-48.1,Santuário da Fé
484,Koundara,GN,86.97,broken clouds,12.48,-13.3,
487,Iranshahr,IR,91.4,scattered clouds,27.2,60.68,کافی نت دانشگاه
489,Sao Jose Da Coroa Grande,BR,79.41,few clouds,-8.9,-35.15,Crôa Mares Hotel
490,Jiazi,CN,83.44,overcast clouds,22.88,116.07,Hotel Jin Hao
491,Broome,US,79.0,scattered clouds,42.25,-75.83,Chenango Valley State Park
493,Diamantino,BR,92.97,scattered clouds,-14.41,-56.45,Hotel Delta
498,Acari,PE,77.14,clear sky,-15.43,-74.62,Hospedaje Ximens
499,Sao Mateus,BR,84.31,clear sky,-18.72,-39.86,Hotel Rio Norte
507,Saint Anthony,US,75.2,overcast clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
508,Sabang,ID,83.25,broken clouds,5.89,95.32,Hotel Citra
510,Jutai,BR,86.94,scattered clouds,-5.18,-68.9,
513,Morada Nova,BR,89.62,clear sky,-5.11,-38.37,PIZZARIA MARIANA
514,Baturite,BR,85.06,clear sky,-4.33,-38.88,Hotel Olho Dagua Baturité
515,Hargeysa,SO,76.05,broken clouds,9.56,44.06,Imperial Hotel
516,Qesarya,IL,80.6,few clouds,32.52,34.9,Dan Caesarea
517,Xambioa,BR,85.51,broken clouds,-6.41,-48.54,Hotel Rio Araguaia
519,Coracao De Jesus,BR,86.0,clear sky,-16.69,-44.37,Hotel Neves
521,Laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
523,Auki,SB,78.69,overcast clouds,-8.77,160.7,Auki Motel
524,Graciano Sanchez,MX,93.2,clear sky,23.92,-99.28,
525,Bardstown,US,88.0,clear sky,37.81,-85.47,Hampton Inn Bardstown
528,Luganville,VU,75.2,overcast clouds,-15.53,167.17,The Espiritu Hotel
529,Piedras Negras,MX,91.4,clear sky,28.7,-100.52,Holiday Inn Express & Suites Eagle Pass
530,Tiarei,PF,75.2,shower rain,-17.53,-149.33,Le Rocher de Tahiti
532,Cortez,US,87.8,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
534,Mineiros,BR,83.55,scattered clouds,-17.57,-52.55,Pilões Palace Hotel
537,Pontes E Lacerda,BR,91.06,scattered clouds,-15.23,-59.34,Hotel Bressan
541,Kalmunai,LK,82.35,overcast clouds,7.42,81.82,VS Villa
543,Marshall,US,88.0,scattered clouds,34.38,-86.33,Lake Guntersville Bed and Breakfast
